"Taxon ID","Genome ID","Genome Name","Antibiotic","Resistant Phenotype","Measurement","Measurement Sign","Measurement Value","Measurement Unit","Laboratory Typing Method","Laboratory Typing Method Version","Laboratory Typing Platform","Vendor","Testing Standard","Testing Standard Year","Computational Method","Computational Method Version","Computational Method Performance","Evidence","Source","PubMed"
584,"584.3313","Proteus mirabilis 014-E1-S06","imipenem","Susceptible","","","","","Disk diffusion","","","Hardy Diagnostics","CLSI",2015,"","","","Laboratory Method","","[31455657]"
584,"584.200","Proteus mirabilis strain AR_0059","tobramycin","Resistant","==16","=","16","mg/L","Broth dilution","","","","CLSI","","","","","Laboratory Method","",""
584,"584.3318","Proteus mirabilis 010-E1-S04","ceftriaxone","Resistant","","","","","Disk diffusion","","","Hardy Diagnostics","CLSI",2015,"","","","Laboratory Method","","[31455657]"
584,"584.3306","Proteus mirabilis 014-E2-DxU","meropenem","Susceptible","","","","","Disk diffusion","","","Hardy Diagnostics","CLSI",2015,"","","","Laboratory Method","","[31455657]"
584,"584.3318","Proteus mirabilis 010-E1-S04","doxycycline","Resistant","","","","","Disk diffusion","","","Hardy Diagnostics","CLSI",2015,"","","","Laboratory Method","","[31455657]"
584,"584.431","Proteus mirabilis strain AR_0029","ceftazidime","Susceptible","<=1","<=","1","mg/L","Broth dilution","","","","CLSI","","","","","Laboratory Method","",""
584,"584.3318","Proteus mirabilis 010-E1-S04","ampicillin","Resistant","","","","","Disk diffusion","","","Hardy Diagnostics","CLSI",2015,"","","","Laboratory Method","","[31455657]"
584,"584.3310","Proteus mirabilis 014-E1-U06","meropenem","Susceptible","","","","","Disk diffusion","","","Hardy Diagnostics","CLSI",2015,"","","","Laboratory Method","","[31455657]"
584,"584.430","Proteus mirabilis strain CCUG 70746","cefuroxime","Resistant",">256",">","256","mg/L","Broth dilution","","E-test","BioMerieux","EUCAST","","","","","Laboratory Method","",""
584,"584.300","Proteus mirabilis strain AR379","imipenem","Resistant","==8","=","8","mg/L","Broth dilution","","","","CLSI","","","","","Laboratory Method","",""
584,"584.431","Proteus mirabilis strain AR_0029","polymyxin B","",">4",">","4","mg/L","Broth dilution","","","","CLSI","","","","","Laboratory Method","",""
584,"584.3318","Proteus mirabilis 010-E1-S04","nitrofurantoin","Resistant","","","","","Disk diffusion","","","Hardy Diagnostics","CLSI",2015,"","","","Laboratory Method","","[31455657]"
584,"584.300","Proteus mirabilis strain AR379","cefepime","Resistant","==32","=","32","mg/L","Broth dilution","","","","CLSI","","","","","Laboratory Method","",""
584,"584.3309","Proteus mirabilis 014-E2-S01","imipenem","Susceptible","","","","","Disk diffusion","","","Hardy Diagnostics","CLSI",2015,"","","","Laboratory Method","","[31455657]"
584,"584.202","Proteus mirabilis strain AR_0155","polymyxin B","",">8",">","8","mg/L","Broth dilution","","","","CLSI","","","","","Laboratory Method","",""
584,"584.202","Proteus mirabilis strain AR_0155","levofloxacin","Resistant",">8",">","8","mg/L","Broth dilution","","","","CLSI","","","","","Laboratory Method","",""
584,"584.204","Proteus mirabilis strain AR_0156","cefazolin","Resistant",">8",">","8","mg/L","Broth dilution","","","","CLSI","","","","","Laboratory Method","",""
584,"584.3311","Proteus mirabilis 014-E1-S01","amikacin","Susceptible","","","","","Disk diffusion","","","Hardy Diagnostics","CLSI",2015,"","","","Laboratory Method","","[31455657]"
584,"584.3308","Proteus mirabilis 014-E1-S04","meropenem","Susceptible","","","","","Disk diffusion","","","Hardy Diagnostics","CLSI",2015,"","","","Laboratory Method","","[31455657]"
584,"584.200","Proteus mirabilis strain AR_0059","imipenem","Resistant","==4","=","4","mg/L","Broth dilution","","","","CLSI","","","","","Laboratory Method","",""
584,"584.3306","Proteus mirabilis 014-E2-DxU","ceftazidime","Susceptible","","","","","Disk diffusion","","","Hardy Diagnostics","CLSI",2015,"","","","Laboratory Method","","[31455657]"
584,"584.431","Proteus mirabilis strain AR_0029","tigecycline","Intermediate","==4","=","4","mg/L","Broth dilution","","","","CLSI","","","","","Laboratory Method","",""
584,"584.204","Proteus mirabilis strain AR_0156","colistin","",">8",">","8","mg/L","Broth dilution","","","","CLSI","","","","","Laboratory Method","",""
584,"584.431","Proteus mirabilis strain AR_0029","ciprofloxacin","Susceptible","<=0.25","<=","0.25","mg/L","Broth dilution","","","","CLSI","","","","","Laboratory Method","",""
584,"584.202","Proteus mirabilis strain AR_0155","colistin","",">8",">","8","mg/L","Broth dilution","","","","CLSI","","","","","Laboratory Method","",""
584,"584.860","Proteus mirabilis strain 208","amikacin","Susceptible","25","=","25","mm","Disk diffusion","","KB panel","BD","CLSI","","","","","Laboratory Method","",""
584,"584.3307","Proteus mirabilis 014-E2-S02","aztreonam","Susceptible","","","","","Disk diffusion","","","Hardy Diagnostics","CLSI",2015,"","","","Laboratory Method","","[31455657]"
584,"584.3313","Proteus mirabilis 014-E1-S06","aztreonam","Susceptible","","","","","Disk diffusion","","","Hardy Diagnostics","CLSI",2015,"","","","Laboratory Method","","[31455657]"
584,"584.299","Proteus mirabilis strain AR_0377","ciprofloxacin","Resistant",">8",">","8","mg/L","Broth dilution","","","","CLSI","","","","","Laboratory Method","",""
584,"584.3315","Proteus mirabilis 010-E1-DxU-P_mir","amikacin","Susceptible","","","","","Disk diffusion","","","Hardy Diagnostics","CLSI",2015,"","","","Laboratory Method","","[31455657]"
584,"584.3306","Proteus mirabilis 014-E2-DxU","doxycycline","Resistant","","","","","Disk diffusion","","","Hardy Diagnostics","CLSI",2015,"","","","Laboratory Method","","[31455657]"
584,"584.202","Proteus mirabilis strain AR_0155","amikacin","Susceptible","<=1","<=","1","mg/L","Broth dilution","","","","CLSI","","","","","Laboratory Method","",""
584,"584.3310","Proteus mirabilis 014-E1-U06","aztreonam","Susceptible","","","","","Disk diffusion","","","Hardy Diagnostics","CLSI",2015,"","","","Laboratory Method","","[31455657]"
584,"584.200","Proteus mirabilis strain AR_0059","trimethoprim/sulfamethoxazole","Resistant",">8/152",">","8/152","mg/L","Broth dilution","","","","CLSI","","","","","Laboratory Method","",""
584,"584.3314","Proteus mirabilis 014-E1-DxU","trimethoprim/sulfamethoxazole","Resistant","","","","","Disk diffusion","","","Hardy Diagnostics","CLSI",2015,"","","","Laboratory Method","","[31455657]"
584,"584.204","Proteus mirabilis strain AR_0156","amoxicillin/clavulanic acid","Intermediate","==16/8","=","16/8","mg/L","Broth dilution","","","","CLSI","","","","","Laboratory Method","",""
584,"584.299","Proteus mirabilis strain AR_0377","tobramycin","Resistant","==16","=","16","mg/L","Broth dilution","","","","CLSI","","","","","Laboratory Method","",""
584,"584.201","Proteus mirabilis strain AR_0159","piperacillin/tazobactam","Resistant","==128/4","=","128/4","mg/L","Broth dilution","","","","CLSI","","","","","Laboratory Method","",""
584,"584.300","Proteus mirabilis strain AR379","trimethoprim/sulfamethoxazole","Resistant",">8/152",">","8/152","mg/L","Broth dilution","","","","CLSI","","","","","Laboratory Method","",""
584,"584.204","Proteus mirabilis strain AR_0156","ceftriaxone","Resistant","<=1","<=","1","mg/L","Broth dilution","","","","CLSI","","","","","Laboratory Method","",""
584,"584.3306","Proteus mirabilis 014-E2-DxU","cefepime","Intermediate","","","","","Disk diffusion","","","Hardy Diagnostics","CLSI",2015,"","","","Laboratory Method","","[31455657]"
584,"584.202","Proteus mirabilis strain AR_0155","cefotaxime","Resistant",">64",">","64","mg/L","Broth dilution","","","","CLSI","","","","","Laboratory Method","",""
584,"584.3316","Proteus mirabilis 014-E1-S02","gentamicin","Susceptible","","","","","Disk diffusion","","","Hardy Diagnostics","CLSI",2015,"","","","Laboratory Method","","[31455657]"
584,"584.201","Proteus mirabilis strain AR_0159","cefoxitin","Resistant",">16",">","16","mg/L","Broth dilution","","","","CLSI","","","","","Laboratory Method","",""
584,"584.430","Proteus mirabilis strain CCUG 70746","metronidazole","",">256",">","256","mg/L","Broth dilution","","E-test","BioMerieux","EUCAST","","","","","Laboratory Method","",""
584,"584.3316","Proteus mirabilis 014-E1-S02","trimethoprim/sulfamethoxazole","Resistant","","","","","Disk diffusion","","","Hardy Diagnostics","CLSI",2015,"","","","Laboratory Method","","[31455657]"
584,"584.3309","Proteus mirabilis 014-E2-S01","nitrofurantoin","Resistant","","","","","Disk diffusion","","","Hardy Diagnostics","CLSI",2015,"","","","Laboratory Method","","[31455657]"
584,"584.200","Proteus mirabilis strain AR_0059","ceftriaxone","Resistant","==4","=","4","mg/L","Broth dilution","","","","CLSI","","","","","Laboratory Method","",""
584,"584.430","Proteus mirabilis strain CCUG 70746","trimethoprim/sulfamethoxazole","Resistant",">32/608",">","32/608","mg/L","Broth dilution","","E-test","BioMerieux","EUCAST","","","","","Laboratory Method","",""
584,"584.202","Proteus mirabilis strain AR_0155","tobramycin","Susceptible","<=0.5","<=","0.5","mg/L","Broth dilution","","","","CLSI","","","","","Laboratory Method","",""
584,"584.860","Proteus mirabilis strain 208","ertapenem","Susceptible","31","=","31","mm","Disk diffusion","","KB panel","BD","CLSI","","","","","Laboratory Method","",""
584,"584.430","Proteus mirabilis strain CCUG 70746","amoxicillin","Resistant",">256",">","256","mg/L","Broth dilution","","E-test","BioMerieux","EUCAST","","","","","Laboratory Method","",""
584,"584.860","Proteus mirabilis strain 208","aztreonam","Susceptible","37","=","37","mm","Disk diffusion","","KB panel","BD","CLSI","","","","","Laboratory Method","",""
584,"584.3311","Proteus mirabilis 014-E1-S01","meropenem","Susceptible","","","","","Disk diffusion","","","Hardy Diagnostics","CLSI",2015,"","","","Laboratory Method","","[31455657]"
584,"584.860","Proteus mirabilis strain 208","ceftazidime","Susceptible","32","=","32","mm","Disk diffusion","","KB panel","BD","CLSI","","","","","Laboratory Method","",""
584,"584.202","Proteus mirabilis strain AR_0155","meropenem","","==2","=","2","mg/L","Broth dilution","","","","CLSI","","","","","Laboratory Method","",""
584,"584.3401","Proteus mirabilis 20200317_MGL_37","nalidixic acid","Resistant","","","","","Disk diffusion","","","BD","CLSI, EUCAST",2021,"","","","Laboratory Method","","[37549252]"
584,"584.3309","Proteus mirabilis 014-E2-S01","ampicillin/sulbactam","Resistant","","","","","Disk diffusion","","","Hardy Diagnostics","CLSI",2015,"","","","Laboratory Method","","[31455657]"
584,"584.204","Proteus mirabilis strain AR_0156","doripenem","Resistant","==4","=","4","mg/L","Broth dilution","","","","CLSI","","","","","Laboratory Method","",""
584,"584.201","Proteus mirabilis strain AR_0159","amikacin","Resistant",">64",">","64","mg/L","Broth dilution","","","","CLSI","","","","","Laboratory Method","",""
584,"584.3318","Proteus mirabilis 010-E1-S04","gentamicin","Resistant","","","","","Disk diffusion","","","Hardy Diagnostics","CLSI",2015,"","","","Laboratory Method","","[31455657]"
584,"584.3317","Proteus mirabilis 010-E1-U04","cefazolin","Resistant","","","","","Disk diffusion","","","Hardy Diagnostics","CLSI",2015,"","","","Laboratory Method","","[31455657]"
584,"584.202","Proteus mirabilis strain AR_0155","gentamicin","Susceptible","<=0.25","<=","0.25","mg/L","Broth dilution","","","","CLSI","","","","","Laboratory Method","",""
584,"584.204","Proteus mirabilis strain AR_0156","trimethoprim/sulfamethoxazole","Resistant",">8/152",">","8/152","mg/L","Broth dilution","","","","CLSI","","","","","Laboratory Method","",""
584,"584.430","Proteus mirabilis strain CCUG 70746","amikacin","Resistant",">256",">","256","mg/L","Broth dilution","","E-test","BioMerieux","EUCAST","","","","","Laboratory Method","",""
584,"584.3306","Proteus mirabilis 014-E2-DxU","trimethoprim/sulfamethoxazole","Resistant","","","","","Disk diffusion","","","Hardy Diagnostics","CLSI",2015,"","","","Laboratory Method","","[31455657]"
584,"584.3308","Proteus mirabilis 014-E1-S04","ceftriaxone","Resistant","","","","","Disk diffusion","","","Hardy Diagnostics","CLSI",2015,"","","","Laboratory Method","","[31455657]"
584,"584.860","Proteus mirabilis strain 208","ampicillin","Resistant","6","=","6","mm","Disk diffusion","","KB panel","BD","CLSI","","","","","Laboratory Method","",""
584,"584.3311","Proteus mirabilis 014-E1-S01","ceftriaxone","Resistant","","","","","Disk diffusion","","","Hardy Diagnostics","CLSI",2015,"","","","Laboratory Method","","[31455657]"
584,"584.204","Proteus mirabilis strain AR_0156","cefotaxime","Susceptible","<=0.5","<=","0.5","mg/L","Broth dilution","","","","CLSI","","","","","Laboratory Method","",""
584,"584.202","Proteus mirabilis strain AR_0155","trimethoprim/sulfamethoxazole","Resistant",">8/152",">","8/152","mg/L","Broth dilution","","","","CLSI","","","","","Laboratory Method","",""
584,"584.3312","Proteus mirabilis 014-E1-U04","ceftazidime","Susceptible","","","","","Disk diffusion","","","Hardy Diagnostics","CLSI",2015,"","","","Laboratory Method","","[31455657]"
584,"584.299","Proteus mirabilis strain AR_0377","levofloxacin","Resistant",">8",">","8","mg/L","Broth dilution","","","","CLSI","","","","","Laboratory Method","",""
584,"584.299","Proteus mirabilis strain AR_0377","cefoxitin","Susceptible","==8","=","8","mg/L","Broth dilution","","","","CLSI","","","","","Laboratory Method","",""
584,"584.300","Proteus mirabilis strain AR379","cefoxitin","Susceptible","==4","=","4","mg/L","Broth dilution","","","","CLSI","","","","","Laboratory Method","",""
584,"584.3313","Proteus mirabilis 014-E1-S06","nitrofurantoin","Resistant","","","","","Disk diffusion","","","Hardy Diagnostics","CLSI",2015,"","","","Laboratory Method","","[31455657]"
584,"584.204","Proteus mirabilis strain AR_0156","ampicillin","Resistant",">32",">","32","mg/L","Broth dilution","","","","CLSI","","","","","Laboratory Method","",""
584,"584.201","Proteus mirabilis strain AR_0159","ciprofloxacin","Intermediate","==2","=","2","mg/L","Broth dilution","","","","CLSI","","","","","Laboratory Method","",""
584,"584.430","Proteus mirabilis strain CCUG 70746","cefotaxime","Resistant",">32",">","32","mg/L","Broth dilution","","E-test","BioMerieux","EUCAST","","","","","Laboratory Method","",""
584,"584.3068","Proteus mirabilis 20200317_MGL_37","kanamycin","Resistant","","","","","Disk diffusion","","","","","","","","","Laboratory Method","","[37549252]"
584,"584.860","Proteus mirabilis strain 208","cefepime","Susceptible","31","=","31","mm","Disk diffusion","","KB panel","BD","CLSI","","","","","Laboratory Method","",""
584,"584.431","Proteus mirabilis strain AR_0029","ceftriaxone","Susceptible","<=1","<=","1","mg/L","Broth dilution","","","","CLSI","","","","","Laboratory Method","",""
584,"584.431","Proteus mirabilis strain AR_0029","piperacillin/tazobactam","Susceptible","<=4/4","<=","4/4","mg/L","Broth dilution","","","","CLSI","","","","","Laboratory Method","",""
584,"584.201","Proteus mirabilis strain AR_0159","ampicillin/sulbactam","Resistant",">32/16",">","32/16","mg/L","Broth dilution","","","","CLSI","","","","","Laboratory Method","",""
584,"584.3068","Proteus mirabilis 20200317_MGL_37","trimethoprim/sulfamethoxazole","Resistant","","","","","Disk diffusion","","","","","","","","","Laboratory Method","","[37549252]"
584,"584.860","Proteus mirabilis strain 208","cephalothin","Resistant","6","=","6","mm","Disk diffusion","","KB panel","BD","CLSI","","","","","Laboratory Method","",""
584,"584.3316","Proteus mirabilis 014-E1-S02","cefepime","Intermediate","","","","","Disk diffusion","","","Hardy Diagnostics","CLSI",2015,"","","","Laboratory Method","","[31455657]"
584,"584.3310","Proteus mirabilis 014-E1-U06","ceftriaxone","Resistant","","","","","Disk diffusion","","","Hardy Diagnostics","CLSI",2015,"","","","Laboratory Method","","[31455657]"
584,"584.3309","Proteus mirabilis 014-E2-S01","doxycycline","Resistant","","","","","Disk diffusion","","","Hardy Diagnostics","CLSI",2015,"","","","Laboratory Method","","[31455657]"
584,"584.204","Proteus mirabilis strain AR_0156","ciprofloxacin","Resistant","==8","=","8","mg/L","Broth dilution","","","","CLSI","","","","","Laboratory Method","",""
584,"584.3307","Proteus mirabilis 014-E2-S02","ampicillin","Resistant","","","","","Disk diffusion","","","Hardy Diagnostics","CLSI",2015,"","","","Laboratory Method","","[31455657]"
584,"584.3312","Proteus mirabilis 014-E1-U04","trimethoprim/sulfamethoxazole","Resistant","","","","","Disk diffusion","","","Hardy Diagnostics","CLSI",2015,"","","","Laboratory Method","","[31455657]"
584,"584.3317","Proteus mirabilis 010-E1-U04","ciprofloxacin","Resistant","","","","","Disk diffusion","","","Hardy Diagnostics","CLSI",2015,"","","","Laboratory Method","","[31455657]"
584,"584.3308","Proteus mirabilis 014-E1-S04","nitrofurantoin","Resistant","","","","","Disk diffusion","","","Hardy Diagnostics","CLSI",2015,"","","","Laboratory Method","","[31455657]"
584,"584.3313","Proteus mirabilis 014-E1-S06","doxycycline","Resistant","","","","","Disk diffusion","","","Hardy Diagnostics","CLSI",2015,"","","","Laboratory Method","","[31455657]"
584,"584.3401","Proteus mirabilis 20200317_MGL_37","rifampin","Resistant","","","","","Disk diffusion","","","BD","CLSI, EUCAST",2021,"","","","Laboratory Method","","[37549252]"
584,"584.200","Proteus mirabilis strain AR_0059","gentamicin","Resistant",">16",">","16","mg/L","Broth dilution","","","","CLSI","","","","","Laboratory Method","",""
584,"584.3401","Proteus mirabilis 20200317_MGL_37","imipenem","Intermediate","","","","","Disk diffusion","","","BD","CLSI, EUCAST",2021,"","","","Laboratory Method","","[37549252]"
584,"584.430","Proteus mirabilis strain CCUG 70746","ceftazidime","Resistant",">256",">","256","mg/L","Broth dilution","","E-test","BioMerieux","EUCAST","","","","","Laboratory Method","",""
584,"584.200","Proteus mirabilis strain AR_0059","ceftazidime","Susceptible","==2","=","2","mg/L","Broth dilution","","","","CLSI","","","","","Laboratory Method","",""
584,"584.299","Proteus mirabilis strain AR_0377","cefazolin","Resistant",">8",">","8","mg/L","Broth dilution","","","","CLSI","","","","","Laboratory Method","",""
584,"584.299","Proteus mirabilis strain AR_0377","doripenem","Resistant","==8","=","8","mg/L","Broth dilution","","","","CLSI","","","","","Laboratory Method","",""
584,"584.299","Proteus mirabilis strain AR_0377","ceftolozane/tazobactam","Resistant","==8/4","=","8/4","mg/L","Broth dilution","","","","CLSI","","","","","Laboratory Method","",""
584,"584.200","Proteus mirabilis strain AR_0059","doripenem","Intermediate","==2","=","2","mg/L","Broth dilution","","","","CLSI","","","","","Laboratory Method","",""
584,"584.3307","Proteus mirabilis 014-E2-S02","trimethoprim/sulfamethoxazole","Resistant","","","","","Disk diffusion","","","Hardy Diagnostics","CLSI",2015,"","","","Laboratory Method","","[31455657]"
584,"584.3308","Proteus mirabilis 014-E1-S04","ampicillin/sulbactam","Resistant","","","","","Disk diffusion","","","Hardy Diagnostics","CLSI",2015,"","","","Laboratory Method","","[31455657]"
584,"584.430","Proteus mirabilis strain CCUG 70746","tetracycline","Resistant","==32","=","32","mg/L","Broth dilution","","E-test","BioMerieux","EUCAST","","","","","Laboratory Method","",""
584,"584.3316","Proteus mirabilis 014-E1-S02","cefazolin","Resistant","","","","","Disk diffusion","","","Hardy Diagnostics","CLSI",2015,"","","","Laboratory Method","","[31455657]"
584,"584.3316","Proteus mirabilis 014-E1-S02","amikacin","Susceptible","","","","","Disk diffusion","","","Hardy Diagnostics","CLSI",2015,"","","","Laboratory Method","","[31455657]"
584,"584.3317","Proteus mirabilis 010-E1-U04","ampicillin/sulbactam","Intermediate","","","","","Disk diffusion","","","Hardy Diagnostics","CLSI",2015,"","","","Laboratory Method","","[31455657]"
584,"584.3316","Proteus mirabilis 014-E1-S02","ceftazidime","Susceptible","","","","","Disk diffusion","","","Hardy Diagnostics","CLSI",2015,"","","","Laboratory Method","","[31455657]"
584,"584.3068","Proteus mirabilis 20200317_MGL_37","rifampin","Resistant","10","","10","mm","Disk diffusion","","","","","","","","","Laboratory Method","","[37549252]"
584,"584.3068","Proteus mirabilis 20200317_MGL_37","spectinomycin","Resistant","","","","","Disk diffusion","","","","","","","","","Laboratory Method","","[37549252]"
584,"584.300","Proteus mirabilis strain AR379","ceftriaxone","Resistant","==4","=","4","mg/L","Broth dilution","","","","CLSI","","","","","Laboratory Method","",""
584,"584.3312","Proteus mirabilis 014-E1-U04","cefepime","Resistant","","","","","Disk diffusion","","","Hardy Diagnostics","CLSI",2015,"","","","Laboratory Method","","[31455657]"
584,"584.3316","Proteus mirabilis 014-E1-S02","nitrofurantoin","Resistant","","","","","Disk diffusion","","","Hardy Diagnostics","CLSI",2015,"","","","Laboratory Method","","[31455657]"
584,"584.3317","Proteus mirabilis 010-E1-U04","aztreonam","Susceptible","","","","","Disk diffusion","","","Hardy Diagnostics","CLSI",2015,"","","","Laboratory Method","","[31455657]"
584,"584.3313","Proteus mirabilis 014-E1-S06","ampicillin/sulbactam","Resistant","","","","","Disk diffusion","","","Hardy Diagnostics","CLSI",2015,"","","","Laboratory Method","","[31455657]"
584,"584.3309","Proteus mirabilis 014-E2-S01","minocycline","Susceptible","","","","","Disk diffusion","","","Hardy Diagnostics","CLSI",2015,"","","","Laboratory Method","","[31455657]"
584,"584.3318","Proteus mirabilis 010-E1-S04","ceftazidime","Susceptible","","","","","Disk diffusion","","","Hardy Diagnostics","CLSI",2015,"","","","Laboratory Method","","[31455657]"
584,"584.431","Proteus mirabilis strain AR_0029","cefazolin","Resistant","==8","=","8","mg/L","Broth dilution","","","","CLSI","","","","","Laboratory Method","",""
584,"584.3315","Proteus mirabilis 010-E1-DxU-P_mir","doxycycline","Resistant","","","","","Disk diffusion","","","Hardy Diagnostics","CLSI",2015,"","","","Laboratory Method","","[31455657]"
584,"584.3315","Proteus mirabilis 010-E1-DxU-P_mir","ceftazidime","Susceptible","","","","","Disk diffusion","","","Hardy Diagnostics","CLSI",2015,"","","","Laboratory Method","","[31455657]"
584,"584.3313","Proteus mirabilis 014-E1-S06","ampicillin","Resistant","","","","","Disk diffusion","","","Hardy Diagnostics","CLSI",2015,"","","","Laboratory Method","","[31455657]"
584,"584.860","Proteus mirabilis strain 208","tobramycin","Resistant","6","=","6","mm","Disk diffusion","","KB panel","BD","CLSI","","","","","Laboratory Method","",""
584,"584.430","Proteus mirabilis strain CCUG 70746","ciprofloxacin","Resistant",">32",">","32","mg/L","Broth dilution","","E-test","BioMerieux","EUCAST","","","","","Laboratory Method","",""
584,"584.3306","Proteus mirabilis 014-E2-DxU","imipenem","Susceptible","","","","","Disk diffusion","","","Hardy Diagnostics","CLSI",2015,"","","","Laboratory Method","","[31455657]"
584,"584.3068","Proteus mirabilis 20200317_MGL_37","nalidixic acid","Resistant","","","","","Disk diffusion","","","","","","","","","Laboratory Method","","[37549252]"
584,"584.3315","Proteus mirabilis 010-E1-DxU-P_mir","trimethoprim/sulfamethoxazole","Resistant","","","","","Disk diffusion","","","Hardy Diagnostics","CLSI",2015,"","","","Laboratory Method","","[31455657]"
584,"584.202","Proteus mirabilis strain AR_0155","doripenem","Intermediate","==2","=","2","mg/L","Broth dilution","","","","CLSI","","","","","Laboratory Method","",""
584,"584.3068","Proteus mirabilis 20200317_MGL_37","ciprofloxacin","Resistant","13","","13","mm","Disk diffusion","","","","","","","","","Laboratory Method","","[37549252]"
584,"584.3318","Proteus mirabilis 010-E1-S04","amikacin","Susceptible","","","","","Disk diffusion","","","Hardy Diagnostics","CLSI",2015,"","","","Laboratory Method","","[31455657]"
584,"584.3309","Proteus mirabilis 014-E2-S01","cefazolin","Resistant","","","","","Disk diffusion","","","Hardy Diagnostics","CLSI",2015,"","","","Laboratory Method","","[31455657]"
584,"584.431","Proteus mirabilis strain AR_0029","trimethoprim/sulfamethoxazole","Susceptible","==0.5/9.5","=","0.5/9.5","mg/L","Broth dilution","","","","CLSI","","","","","Laboratory Method","",""
584,"584.200","Proteus mirabilis strain AR_0059","amikacin","Susceptible","==4","=","4","mg/L","Broth dilution","","","","CLSI","","","","","Laboratory Method","",""
584,"584.3308","Proteus mirabilis 014-E1-S04","cefepime","Intermediate","","","","","Disk diffusion","","","Hardy Diagnostics","CLSI",2015,"","","","Laboratory Method","","[31455657]"
584,"584.3314","Proteus mirabilis 014-E1-DxU","amikacin","Susceptible","","","","","Disk diffusion","","","Hardy Diagnostics","CLSI",2015,"","","","Laboratory Method","","[31455657]"
584,"584.431","Proteus mirabilis strain AR_0029","doripenem","Susceptible","==1","=","1","mg/L","Broth dilution","","","","CLSI","","","","","Laboratory Method","",""
584,"584.3401","Proteus mirabilis 20200317_MGL_37","chloramphenicol","Resistant","","","","","Disk diffusion","","","BD","CLSI, EUCAST",2021,"","","","Laboratory Method","","[37549252]"
584,"584.3068","Proteus mirabilis 20200317_MGL_37","imipenem","Intermediate","22","","22","mm","Disk diffusion","","","","","","","","","Laboratory Method","","[37549252]"
584,"584.860","Proteus mirabilis strain 208","imipenem","Susceptible","24","=","24","mm","Disk diffusion","","KB panel","BD","CLSI","","","","","Laboratory Method","",""
584,"584.431","Proteus mirabilis strain AR_0029","ampicillin/sulbactam","Susceptible","==2/1","=","2/1","mg/L","Broth dilution","","","","CLSI","","","","","Laboratory Method","",""
584,"584.3401","Proteus mirabilis 20200317_MGL_37","ampicillin","Resistant","","","","","Disk diffusion","","","BD","CLSI, EUCAST",2021,"","","","Laboratory Method","","[37549252]"
584,"584.3309","Proteus mirabilis 014-E2-S01","gentamicin","Susceptible","","","","","Disk diffusion","","","Hardy Diagnostics","CLSI",2015,"","","","Laboratory Method","","[31455657]"
584,"584.201","Proteus mirabilis strain AR_0159","ampicillin","Resistant",">32",">","32","mg/L","Broth dilution","","","","CLSI","","","","","Laboratory Method","",""
584,"584.3316","Proteus mirabilis 014-E1-S02","ciprofloxacin","Resistant","","","","","Disk diffusion","","","Hardy Diagnostics","CLSI",2015,"","","","Laboratory Method","","[31455657]"
584,"584.3306","Proteus mirabilis 014-E2-DxU","ciprofloxacin","Resistant","","","","","Disk diffusion","","","Hardy Diagnostics","CLSI",2015,"","","","Laboratory Method","","[31455657]"
584,"584.3314","Proteus mirabilis 014-E1-DxU","nitrofurantoin","Resistant","","","","","Disk diffusion","","","Hardy Diagnostics","CLSI",2015,"","","","Laboratory Method","","[31455657]"
584,"584.201","Proteus mirabilis strain AR_0159","tobramycin","Resistant",">16",">","16","mg/L","Broth dilution","","","","CLSI","","","","","Laboratory Method","",""
584,"584.430","Proteus mirabilis strain CCUG 70746","teicoplanin","Resistant",">256",">","256","mg/L","Broth dilution","","E-test","BioMerieux","EUCAST","","","","","Laboratory Method","",""
584,"584.3314","Proteus mirabilis 014-E1-DxU","ceftriaxone","Resistant","","","","","Disk diffusion","","","Hardy Diagnostics","CLSI",2015,"","","","Laboratory Method","","[31455657]"
584,"584.3315","Proteus mirabilis 010-E1-DxU-P_mir","meropenem","Susceptible","","","","","Disk diffusion","","","Hardy Diagnostics","CLSI",2015,"","","","Laboratory Method","","[31455657]"
584,"584.299","Proteus mirabilis strain AR_0377","tetracycline","Resistant",">32",">","32","mg/L","Broth dilution","","","","CLSI","","","","","Laboratory Method","",""
584,"584.300","Proteus mirabilis strain AR379","ertapenem","Intermediate","==1","=","1","mg/L","Broth dilution","","","","CLSI","","","","","Laboratory Method","",""
584,"584.3317","Proteus mirabilis 010-E1-U04","meropenem","Susceptible","","","","","Disk diffusion","","","Hardy Diagnostics","CLSI",2015,"","","","Laboratory Method","","[31455657]"
584,"584.202","Proteus mirabilis strain AR_0155","ertapenem","Resistant","==2","=","2","mg/L","Broth dilution","","","","CLSI","","","","","Laboratory Method","",""
584,"584.200","Proteus mirabilis strain AR_0059","ertapenem","Susceptible","==0.5","=","0.5","mg/L","Broth dilution","","","","CLSI","","","","","Laboratory Method","",""
584,"584.3307","Proteus mirabilis 014-E2-S02","cefazolin","Resistant","","","","","Disk diffusion","","","Hardy Diagnostics","CLSI",2015,"","","","Laboratory Method","","[31455657]"
584,"584.3318","Proteus mirabilis 010-E1-S04","minocycline","Intermediate","","","","","Disk diffusion","","","Hardy Diagnostics","CLSI",2015,"","","","Laboratory Method","","[31455657]"
584,"584.430","Proteus mirabilis strain CCUG 70746","gentamicin","Resistant",">256",">","256","mg/L","Broth dilution","","E-test","BioMerieux","EUCAST","","","","","Laboratory Method","",""
